site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,country,region,year,date,depth (m),substrate_recorded_by,fish_recorded_by,inverts_recorded_by,team_leader,team_scientist
410f8f7e-6f0a-4a10-b320-5b411493c478,1b1ce0e1-3ab7-4875-bd49-54a716728c14,159.29.53.4W.22.13.7.2N,"Pu`u Po`a, Princeville Resort Beach",United States of America,Indo-Pacific,2007,10-June-07,2.0,"","","",Krista Heide Pierce,Stephanie Krieger
8760bd2e-6b13-4a2b-b55a-95a2cbe1a001,2385b5ae-5a1f-40ac-9aa5-da4d49f91c40,159.27.51.1W.22.13.37.9N,"Anini Beach, Boat Ramp",United States of America,Indo-Pacific,2008,08-March-08,1.5,"","","",Krista Heide Pierce,Stephanie Krieger
6e83b944-995a-4880-8387-45245392e3e4,243e983f-60c7-462f-a8a6-194a46308f8f,159.19.48.7W.22.3.5.3N,Lae Nani (Turtle Bay),United States of America,Indo-Pacific,2008,16-February-08,2.0,"","","",Linda Kosen,Stephanie Krieger
70b768ca-d6e9-455d-b242-9c4c99575771,28d3cd03-0fcf-4402-a8d9-feda0767fc37,157.50.2.5W.21.16.24.1N,Turtle Canyon,United States of America,Indo-Pacific,2002,10-February-02,9.0,"","","",Katie Laing,Michelle Eich
66fab3b1-691b-446e-9e70-d6f774bf9f30,28dcfea1-606b-4ff1-9385-a3ecb2a67d6c,156.53.54.0W.20.44.0.0N,Hulopoe Bay,United States of America,Indo-Pacific,2004,08-March-04,8.0,"","","",Robin Newbold,Robin Newbold
fa1b9568-96dd-464c-9184-c223543a17ef,2d14f9ba-351d-4948-9b61-5bb3b4dcfa32,156.26.34.8W.20.40.15.6N,Palauea Beach,United States of America,Indo-Pacific,2001,15-August-01,6.0,"","","",Robin Newbold,Robin Newbold
5443e11f-1f3f-41bb-9fa3-c76c0d79ac9e,2fd8a19a-9797-422a-b694-37deb5a7c47b,159.24.52.2W.21.53.23.4N,Maha`ulepu,United States of America,Indo-Pacific,2009,18-April-09,1.5,"","","",Stephanie Krieger,Stephanie Krieger
9f6fc73d-a635-40f0-8f3d-cd44d0820f42,305871bb-a344-4de0-aaeb-2d5174803fcc,159.35.11.4W.22.13.22.9N,Ke'e Beach,United States of America,Indo-Pacific,2008,10-May-08,1.5,"","","",Linda Kosen,Stephanie Krieger
151c30bb-7927-4a0b-b859-82f2ce301929,312278df-e5cf-40ac-84b3-95a4836eebfb,159.34.48.0W.22.13.51.6N,Makua (Tunnels),United States of America,Indo-Pacific,1999,21-August-99,10.0,"","","",Carl Stepath,""
ae266dd6-cb4c-4bc2-9e98-d4d17da1553a,355d19e4-1b30-4b4d-ba1d-0a76b163d688,156.41.50.3W.20.55.42.4N,Kahekili Park (Old Airport Beach),United States of America,Indo-Pacific,2004,03-April-04,3.0,"","","",Robin Newbold,Robin Newbold
